provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
Detection,,2024-08-26,,,False,2024-08-26T02:32:53.010000,,,,,,2024-08-26_123,,AM,,,0.4216938018798828,2024-08-26T02:32:53.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:33:27.490000,,,,,,2024-08-26_124,,AM,,,0.6789218783378601,2024-08-26T02:33:27.490000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:34:21.290000,,,,,,2024-08-26_125,,AM,,,0.6654120683670044,2024-08-26T02:34:21.290000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:34:43.830000,,,,,,2024-08-26_126,,AM,,,0.10773776471614838,2024-08-26T02:34:43.830000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:34:50.370000,,,,,,2024-08-26_127,,AM,,,0.5156205892562866,2024-08-26T02:34:50.370000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:38:35.010000,,,,,,2024-08-26_128,,AM,,,0.6666503548622131,2024-08-26T02:38:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:40:35.070000,,,,,,2024-08-26_129,,AM,,,0.18658944964408875,2024-08-26T02:40:35.070000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:41:33.830000,,,,,,2024-08-26_130,,AM,,,0.3388984501361847,2024-08-26T02:41:33.830000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:42:20.240000,,,,,,2024-08-26_131,,AM,,,0.13624517619609833,2024-08-26T02:42:20.240000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:44:34.540000,,,,,,2024-08-26_132,,AM,,,0.15124331414699554,2024-08-26T02:44:34.540000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:44:52.530000,,,,,,2024-08-26_133,,AM,,,0.10323860496282578,2024-08-26T02:44:52.530000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:45:13.150000,,,,,,2024-08-26_134,,AM,,,0.10257016867399216,2024-08-26T02:45:13.150000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:47:38.990000,,,,,,2024-08-26_135,,AM,,,0.10161129385232925,2024-08-26T02:47:38.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:48:32.100000,,,,,,2024-08-26_136,,AM,,,0.12856997549533844,2024-08-26T02:48:32.100000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:49:37.010000,,,,,,2024-08-26_137,,AM,,,0.3515903949737549,2024-08-26T02:49:37.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:50:22.800000,,,,,,2024-08-26_138,,AM,,,0.14444299042224884,2024-08-26T02:50:22.800000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:51:06,,,,,,2024-08-26_139,,AM,,,0.41474634408950806,2024-08-26T02:51:06,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:54:36.020000,,,,,,2024-08-26_140,,AM,,,0.7377414703369141,2024-08-26T02:54:36.020000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:55:36.990000,,,,,,2024-08-26_141,,AM,,,0.5225540995597839,2024-08-26T02:55:36.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:55:37.990000,,,,,,2024-08-26_142,,AM,,,0.1635020673274994,2024-08-26T02:55:37.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:56:15.540000,,,,,,2024-08-26_143,,AM,,,0.10388428717851639,2024-08-26T02:56:15.540000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:56:31.420000,,,,,,2024-08-26_144,,AM,,,0.17621228098869324,2024-08-26T02:56:31.420000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:57:01.890000,,,,,,2024-08-26_145,,AM,,,0.5122206807136536,2024-08-26T02:57:01.890000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T02:57:07.920000,,,,,,2024-08-26_146,,AM,,,0.3412473499774933,2024-08-26T02:57:07.920000,,,True,R1F0E,
