provider,event_id,s_predicted,lat,p_predicted,p_detected,plot_path,s_detected,code,s_confidence,mag,epi_distance,unique_id,time,s_error,date,network,p_error,long,depth,detected,mag_type,p_confidence,catalogued
EMSC,quakeml:eu.emsc/event/20240615_0000154,2024-06-15T14:41:46.851444,38.2692,2024-06-15T14:36:38.752141,2024-06-15T14:36:53.790000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_172_event_plot.png?raw=true,,R50D6,,1.9,3461.1590595135453,2024-06-15_172,2024-06-15T14:30:18,,2024-06-15,AM,15.037859,37.8131,7.0,True,ml,0.2139016836881637,True
EMSC,quakeml:eu.emsc/event/20240615_0000148,2024-06-15T14:37:46.631773,37.8767,2024-06-15T14:33:09.637900,,,,R50D6,,2.3,2865.647176748642,2024-06-15_173,2024-06-15T14:27:33.710000,,2024-06-15,AM,,27.2397,10.4,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000269,2024-06-15T14:38:28.699539,21.355,2024-06-15T14:31:36.311778,2024-06-15T14:31:51.060000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_174_event_plot.png?raw=true,,R50D6,,4.4,5207.088187117453,2024-06-15_174,2024-06-15T14:23:04.804000,,2024-06-15,AM,14.748222,-45.5244,10.0,True,mb,0.4245091378688812,True
EMSC,quakeml:eu.emsc/event/20240615_0000145,2024-06-15T14:39:39.980781,12.12,2024-06-15T14:29:47.267490,2024-06-15T14:29:48.650000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_175_event_plot.png?raw=true,,R50D6,,2.7,8607.912752868016,2024-06-15_175,2024-06-15T14:17:50,,2024-06-15,AM,1.38251,-86.84,90.0,True,m,0.3011101484298706,True
EMSC,quakeml:eu.emsc/event/20240615_0000255,2024-06-15T14:33:12.010156,54.5235,2024-06-15T14:24:00.026624,,,,R50D6,,2.5,7751.271649674079,2024-06-15_176,2024-06-15T14:12:46.990000,,2024-06-15,AM,,-163.525,11.2,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000150,2024-06-15T14:10:39.698380,39.6822,2024-06-15T14:06:07.322671,2024-06-15T14:06:07,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-06-15/report/2024-06-15_177_event_plot.png?raw=true,,R50D6,,1.1,2800.911533893773,2024-06-15_177,2024-06-15T14:00:37,,2024-06-15,AM,-0.322671,28.7353,7.0,True,ml,0.1332984268665313,True
EMSC,quakeml:eu.emsc/event/20240615_0000129,2024-06-15T13:53:12.772781,38.0875,2024-06-15T13:48:01.528268,,,,R50D6,,2.7,3512.4778512257967,2024-06-15_178,2024-06-15T13:41:36.710000,,2024-06-15,AM,,38.4119,11.3,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000144,2024-06-15T13:56:24.319330,36.4793,2024-06-15T13:49:02.582717,,,,R50D6,,4.4,5706.12259046629,2024-06-15_179,2024-06-15T13:39:55.870000,,2024-06-15,AM,,70.9497,190.0,False,mb,,True
EMSC,quakeml:eu.emsc/event/20240615_0000127,2024-06-15T13:46:44.526175,37.45,2024-06-15T13:42:08.893894,,,,R50D6,,2.0,2632.294282882488,2024-06-15_180,2024-06-15T13:36:53.500000,,2024-06-15,AM,,22.2,10.0,False,ml,,True
EMSC,quakeml:eu.emsc/event/20240615_0000162,2024-06-15T13:56:45.487214,46.8347,2024-06-15T13:47:10.353132,,,,R50D6,,4.3,8221.199493652663,2024-06-15_181,2024-06-15T13:35:32,,2024-06-15,AM,,142.3727,14.0,False,mb,,True
