s_predicted,mag,network,code,p_detected,s_confidence,epi_distance,catalogued,provider,depth,unique_id,long,time,detected,p_error,mag_type,p_confidence,s_detected,event_id,p_predicted,date,plot_path,s_error,lat
,,AM,R50D6,2024-08-23T04:25:21.080000,,,False,Detection,,2024-08-23_100,,2024-08-23T04:25:21.080000,True,,,0.7087300419807434,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:28:21.960000,,,False,Detection,,2024-08-23_101,,2024-08-23T04:28:21.960000,True,,,0.4522690176963806,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:35:39.020000,,,False,Detection,,2024-08-23_102,,2024-08-23T04:35:39.020000,True,,,0.732419490814209,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:37:52,,,False,Detection,,2024-08-23_103,,2024-08-23T04:37:52,True,,,0.1982031017541885,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:37:53.040000,,,False,Detection,,2024-08-23_104,,2024-08-23T04:37:53.040000,True,,,0.5152786374092102,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:38:11.090000,,,False,Detection,,2024-08-23_105,,2024-08-23T04:38:11.090000,True,,,0.4000152349472046,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:40:08.120000,,,False,Detection,,2024-08-23_106,,2024-08-23T04:40:08.120000,True,,,0.7547982931137085,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:40:38,,,False,Detection,,2024-08-23_107,,2024-08-23T04:40:38,True,,,0.3040375113487243,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:40:43.460000,,,False,Detection,,2024-08-23_108,,2024-08-23T04:40:43.460000,True,,,0.4148608744144439,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:46:06.980000,,,False,Detection,,2024-08-23_109,,2024-08-23T04:46:06.980000,True,,,0.4495609700679779,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:46:35,,,False,Detection,,2024-08-23_110,,2024-08-23T04:46:35,True,,,0.2538714408874511,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:46:35.970000,,,False,Detection,,2024-08-23_111,,2024-08-23T04:46:35.970000,True,,,0.1443085521459579,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:57:05.030000,,,False,Detection,,2024-08-23_112,,2024-08-23T04:57:05.030000,True,,,0.5560817122459412,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:57:05.980000,,,False,Detection,,2024-08-23_113,,2024-08-23T04:57:05.980000,True,,,0.1309749335050583,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T04:58:40.010000,,,False,Detection,,2024-08-23_114,,2024-08-23T04:58:40.010000,True,,,0.8887987732887268,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:00:37.020000,,,False,Detection,,2024-08-23_115,,2024-08-23T05:00:37.020000,True,,,0.6365383267402649,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:05:21.060000,,,False,Detection,,2024-08-23_116,,2024-08-23T05:05:21.060000,True,,,0.5471760034561157,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:10:36.990000,,,False,Detection,,2024-08-23_117,,2024-08-23T05:10:36.990000,True,,,0.5975321531295776,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:10:37.970000,,,False,Detection,,2024-08-23_118,,2024-08-23T05:10:37.970000,True,,,0.1605977416038513,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:11:19.060000,,,False,Detection,,2024-08-23_119,,2024-08-23T05:11:19.060000,True,,,0.1500240862369537,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:13:06.880000,,,False,Detection,,2024-08-23_120,,2024-08-23T05:13:06.880000,True,,,0.4368100166320801,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:13:20.790000,,,False,Detection,,2024-08-23_121,,2024-08-23T05:13:20.790000,True,,,0.6004816889762878,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:13:49.600000,,,False,Detection,,2024-08-23_122,,2024-08-23T05:13:49.600000,True,,,0.4326925575733185,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:15:23.600000,,,False,Detection,,2024-08-23_123,,2024-08-23T05:15:23.600000,True,,,0.1001145541667938,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:15:45.240000,,,False,Detection,,2024-08-23_124,,2024-08-23T05:15:45.240000,True,,,0.1670591682195663,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:16:05.010000,,,False,Detection,,2024-08-23_125,,2024-08-23T05:16:05.010000,True,,,0.7988004684448242,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:17:22.910000,,,False,Detection,,2024-08-23_126,,2024-08-23T05:17:22.910000,True,,,0.1704427599906921,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:20:52.900000,,,False,Detection,,2024-08-23_127,,2024-08-23T05:20:52.900000,True,,,0.2063779383897781,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:21:29.930000,,,False,Detection,,2024-08-23_128,,2024-08-23T05:21:29.930000,True,,,0.6184221506118774,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:27:16.010000,,,False,Detection,,2024-08-23_129,,2024-08-23T05:27:16.010000,True,,,0.2650030255317688,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:27:42.470000,,,False,Detection,,2024-08-23_130,,2024-08-23T05:27:42.470000,True,,,0.1603149473667144,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:28:54.990000,,,False,Detection,,2024-08-23_131,,2024-08-23T05:28:54.990000,True,,,0.6015134453773499,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:28:55.470000,,,False,Detection,,2024-08-23_132,,2024-08-23T05:28:55.470000,True,,,0.4883177876472473,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:33:08.980000,,,False,Detection,,2024-08-23_133,,2024-08-23T05:33:08.980000,True,,,0.4207245409488678,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:33:09.960000,,,False,Detection,,2024-08-23_134,,2024-08-23T05:33:09.960000,True,,,0.4574576020240783,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:33:10.970000,,,False,Detection,,2024-08-23_135,,2024-08-23T05:33:10.970000,True,,,0.1097696125507354,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:37:05.030000,,,False,Detection,,2024-08-23_136,,2024-08-23T05:37:05.030000,True,,,0.3698779642581939,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:38:37.960000,,,False,Detection,,2024-08-23_137,,2024-08-23T05:38:37.960000,True,,,0.1600084900856018,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:38:45.890000,,,False,Detection,,2024-08-23_138,,2024-08-23T05:38:45.890000,True,,,0.2269347310066223,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:39:01.480000,,,False,Detection,,2024-08-23_139,,2024-08-23T05:39:01.480000,True,,,0.1252110451459884,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:39:08.850000,,,False,Detection,,2024-08-23_140,,2024-08-23T05:39:08.850000,True,,,0.259004145860672,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:39:52.980000,,,False,Detection,,2024-08-23_141,,2024-08-23T05:39:52.980000,True,,,0.185465931892395,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:39:54.020000,,,False,Detection,,2024-08-23_142,,2024-08-23T05:39:54.020000,True,,,0.4672495126724243,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:39:54.890000,,,False,Detection,,2024-08-23_143,,2024-08-23T05:39:54.890000,True,,,0.1068817824125289,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:40:07.940000,,,False,Detection,,2024-08-23_144,,2024-08-23T05:40:07.940000,True,,,0.1661421060562133,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:40:52.510000,,,False,Detection,,2024-08-23_145,,2024-08-23T05:40:52.510000,True,,,0.4262879192829132,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:42:21.890000,,,False,Detection,,2024-08-23_146,,2024-08-23T05:42:21.890000,True,,,0.5336184501647949,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:44:38.010000,,,False,Detection,,2024-08-23_147,,2024-08-23T05:44:38.010000,True,,,0.7905741333961487,,,,2024-08-23,,,
,,AM,R50D6,2024-08-23T05:45:19.730000,,,False,Detection,,2024-08-23_148,,2024-08-23T05:45:19.730000,True,,,0.5410248041152954,,,,2024-08-23,,,
,,AM,R50D6,,,,False,Detection,,2024-08-23_149,,2024-08-23T05:45:20.530000,True,,,,,,,2024-08-23,,,
